Eval step 800000 | train loss 0.6037 | val loss 0.7006 | BLUE: 0.0000
Eval step 810000 | train loss 0.6105 | val loss 0.6959 | BLUE: 0.0000
Eval step 820000 | train loss 0.6131 | val loss 0.6998 | BLUE: 0.0000
Eval step 830000 | train loss 0.5979 | val loss 0.6967 | BLUE: 0.0000
Eval step 840000 | train loss 0.6008 | val loss 0.6926 | BLUE: 0.0000
Eval step 850000 | train loss 0.5947 | val loss 0.6963 | BLUE: 0.0000
Eval step 860000 | train loss 0.6074 | val loss 0.6911 | BLUE: 0.0000
Eval step 870000 | train loss 0.6007 | val loss 0.6977 | BLUE: 0.0000
Eval step 880000 | train loss 0.6024 | val loss 0.6888 | BLUE: 0.0000
Eval step 890000 | train loss 0.6061 | val loss 0.6894 | BLUE: 0.0000
Eval step 900000 | train loss 0.5941 | val loss 0.6950 | BLUE: 0.0000
Eval step 910000 | train loss 0.5793 | val loss 0.6897 | BLUE: 0.0000
Eval step 920000 | train loss 0.5995 | val loss 0.6899 | BLUE: 0.0000
Eval step 930000 | train loss 0.5886 | val loss 0.6871 | BLUE: 0.0000
Eval step 940000 | train loss 0.5993 | val loss 0.6864 | BLUE: 0.0000
Eval step 950000 | train loss 0.5918 | val loss 0.6859 | BLUE: 0.0000
Eval step 960000 | train loss 0.5764 | val loss 0.6849 | BLUE: 0.0000
Eval step 970000 | train loss 0.5864 | val loss 0.6873 | BLUE: 0.0000
Eval step 980000 | train loss 0.5812 | val loss 0.6866 | BLUE: 0.0000
Eval step 990000 | train loss 0.5933 | val loss 0.6810 | BLUE: 0.0000
Eval step 1000000 | train loss 0.5850 | val loss 0.6813 | BLUE: 0.0000
Eval step 1010000 | train loss 0.5735 | val loss 0.6786 | BLUE: 0.0000
Eval step 1020000 | train loss 0.5816 | val loss 0.6750 | BLUE: 0.0000
Eval step 1030000 | train loss 0.5760 | val loss 0.6809 | BLUE: 0.0000
Eval step 1040000 | train loss 0.5671 | val loss 0.6830 | BLUE: 0.0000
Eval step 1050000 | train loss 0.5750 | val loss 0.6783 | BLUE: 0.0000
Eval step 1060000 | train loss 0.5663 | val loss 0.6749 | BLUE: 0.0000
Eval step 1070000 | train loss 0.5725 | val loss 0.6771 | BLUE: 0.0000
Eval step 1080000 | train loss 0.5698 | val loss 0.6758 | BLUE: 0.0000
