Step   72 | norm: 1.6115 | lr: 0.000044 | loss: 10.2363 | dt: 233.22
Step   73 | norm: 1.5859 | lr: 0.000044 | loss: 10.2359 | dt: 229.44
Step   74 | norm: 1.5463 | lr: 0.000045 | loss: 10.1955 | dt: 235.86
Step   75 | norm: 1.5753 | lr: 0.000046 | loss: 10.1066 | dt: 227.26
Step   76 | norm: 1.5281 | lr: 0.000046 | loss: 10.1404 | dt: 231.77
Step   77 | norm: 1.6078 | lr: 0.000047 | loss: 9.9875 | dt: 227.13
Step   78 | norm: 1.6268 | lr: 0.000047 | loss: 9.9482 | dt: 229.08
Step   79 | norm: 1.5641 | lr: 0.000048 | loss: 9.9569 | dt: 231.59
Step   80 | norm: 1.5113 | lr: 0.000049 | loss: 9.9440 | dt: 229.19
Step   81 | norm: 1.5495 | lr: 0.000049 | loss: 9.8776 | dt: 229.64
Step   82 | norm: 1.5978 | lr: 0.000050 | loss: 9.7900 | dt: 227.59
Step   83 | norm: 1.5240 | lr: 0.000050 | loss: 9.7873 | dt: 229.44
Step   84 | norm: 1.5963 | lr: 0.000051 | loss: 9.7153 | dt: 225.54
Step   85 | norm: 1.5668 | lr: 0.000052 | loss: 9.6329 | dt: 229.73
Step   86 | norm: 1.5150 | lr: 0.000052 | loss: 9.6353 | dt: 227.33
Step   87 | norm: 1.5095 | lr: 0.000053 | loss: 9.6188 | dt: 231.27
Step   88 | norm: 1.4706 | lr: 0.000053 | loss: 9.5459 | dt: 225.68
Step   89 | norm: 1.4693 | lr: 0.000054 | loss: 9.5341 | dt: 229.19
Step   90 | norm: 1.4279 | lr: 0.000055 | loss: 9.5376 | dt: 226.48
Step   91 | norm: 1.5157 | lr: 0.000055 | loss: 9.3739 | dt: 228.71
Step   92 | norm: 1.5261 | lr: 0.000056 | loss: 9.3022 | dt: 226.45
Step   93 | norm: 1.5326 | lr: 0.000056 | loss: 9.2540 | dt: 227.42
Step   94 | norm: 1.4889 | lr: 0.000057 | loss: 9.2064 | dt: 229.26
Step   95 | norm: 1.4347 | lr: 0.000058 | loss: 9.1547 | dt: 227.49
Step   96 | norm: 1.4590 | lr: 0.000058 | loss: 9.0912 | dt: 227.06
