Step  225 | norm: 0.5771 | lr: 0.000011 | loss: 2.5883 | Data dt:  8.32 | Forward dt: 76.20 | Backward dt: 155.40
Step  230 | norm: 0.6390 | lr: 0.000011 | loss: 2.5453 | Data dt:  8.49 | Forward dt: 76.17 | Backward dt: 155.30
Step  235 | norm: 0.5591 | lr: 0.000011 | loss: 2.5587 | Data dt:  8.17 | Forward dt: 76.20 | Backward dt: 155.30
Step  240 | norm: 0.7002 | lr: 0.000012 | loss: 2.5718 | Data dt:  8.17 | Forward dt: 76.17 | Backward dt: 155.72
Step  245 | norm: 0.5497 | lr: 0.000012 | loss: 2.5715 | Data dt:  8.18 | Forward dt: 76.35 | Backward dt: 155.24
Step  250 | norm: 0.5209 | lr: 0.000012 | loss: 2.5625 | Data dt:  8.26 | Forward dt: 76.04 | Backward dt: 154.53
Step  255 | norm: 0.6737 | lr: 0.000012 | loss: 2.5455 | Data dt:  8.49 | Forward dt: 76.19 | Backward dt: 155.10
Step  260 | norm: 0.5388 | lr: 0.000013 | loss: 2.4767 | Data dt:  8.30 | Forward dt: 76.83 | Backward dt: 156.20
Step  265 | norm: 0.5348 | lr: 0.000013 | loss: 2.5383 | Data dt:  8.38 | Forward dt: 76.53 | Backward dt: 156.47
Step  270 | norm: 0.5772 | lr: 0.000013 | loss: 2.4876 | Data dt:  8.33 | Forward dt: 76.28 | Backward dt: 155.50
Step  275 | norm: 0.6019 | lr: 0.000013 | loss: 2.5142 | Data dt:  8.07 | Forward dt: 76.03 | Backward dt: 155.05
Step  280 | norm: 0.6122 | lr: 0.000013 | loss: 2.4974 | Data dt:  8.21 | Forward dt: 75.99 | Backward dt: 154.95
Step  285 | norm: 0.4443 | lr: 0.000014 | loss: 2.4693 | Data dt:  8.42 | Forward dt: 76.35 | Backward dt: 155.27
Step  290 | norm: 0.6608 | lr: 0.000014 | loss: 2.4611 | Data dt:  8.27 | Forward dt: 76.07 | Backward dt: 154.85
Step  295 | norm: 0.5027 | lr: 0.000014 | loss: 2.4890 | Data dt:  8.59 | Forward dt: 75.88 | Backward dt: 154.20
Step  300 | norm: 0.6890 | lr: 0.000014 | loss: 2.4557 | Data dt:  8.33 | Forward dt: 75.97 | Backward dt: 154.64
Step  305 | norm: 0.7095 | lr: 0.000015 | loss: 2.4890 | Data dt:  8.46 | Forward dt: 76.02 | Backward dt: 155.15
Step  310 | norm: 0.6217 | lr: 0.000015 | loss: 2.4658 | Data dt:  8.34 | Forward dt: 76.27 | Backward dt: 155.03
